COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808063694	"AMOROSI Luca-QUAGLIERINI Carlo"	"Chimica e tecnologia dei materiali per l'arte"		"Seconda edizione"	"I materiali da formare, i leganti e i metalli con risorse digitali Scuolabook"	1450	144	"197x266, 2012"
9788808202499	"AMOROSI Luca-QUAGLIERINI Carlo"	"Chimica e tecnologia dei materiali per l'arte"		"Seconda edizione"	"Introduzione alla chimica dei materiali e al restauro con risorse digitali Scuolabook"	800	64	"197x266, 2012"
9788808202734	"AMOROSI Luca-QUAGLIERINI Carlo"	"Chimica e tecnologia dei materiali per l'arte"		"Seconda edizione"	"Le fibre tessili con risorse digitali Scuolabook"	1360	136	"197x266, 2012"
9788808302502	"AMOROSI Luca-QUAGLIERINI Carlo"	"Chimica e tecnologia dei materiali per l'arte"		"Seconda edizione"	"I materiali per pittura, grafica e stampa con risorse digitali Scuolabook"	900	72	"198x266, 2012"
9788808061836	"AMEY Abigail-COUPLAND George-DOLAN Liam-HARBERD Nicholas-JONES Jonathan-MARTIN Cathie-SABLOWSKI Robert-SMITH Alison M."	"Biologia delle piante"		"Edizione italiana a cura di Donato Chiatante"	"Volume 1"	4430	400	"210x285, 2011"
9788808129314	"AMEY Abigail-COUPLAND George-DOLAN Liam-HARBERD Nicholas-JONES Jonathan-MARTIN Cathie-SABLOWSKI Robert-SMITH Alison M."	"Biologia delle piante"		"Edizione italiana a cura di Donato Chiatante"	"Volume 2"	2890	208	"210x285, 2011"
9788808182906	"LEDONNE Giuseppina-MELEIS Afaf Ibrahim-TOLOMEO Sabrina Agata"	"Teoretica infermieristica"			"Volume unico"	5600	624	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2013"
9788808491084	"KLEIN Simonetta"	"Il racconto della chimica"			"Volume unico"	3550	448	", , 210x285, 2018"
9788808730039	"KLEIN Simonetta"	"Il racconto della chimica"			"La materia, gli atomi, le molecole"	1220	120	", , 210x285, 2018"
9788808925022	"KLEIN Simonetta"	"Il racconto della chimica"			"Dalla mole all'elettrochimica"	3010	352	", , 210x285, 2018"
9788808540027	"KLEIN Simonetta"	"Il racconto della chimica"			"Volume unico con Elementi di chimica organica"	3700	480	", , 210x285, 2018"
9788808821249	"LEONARD Carla natalie"	"The Culture Club"			"Student's Book"	1700	192	", , 210x285, 2016"
9788808177094	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"Ambiente e sostenibilità"	1280	128	"230x285, 2011"
9788808189301	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"Le basi molecolari della vita e dell'evoluzione"	1700	160	"230x285, 2011"
9788808189325	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"Il corpo umano"	2670	296	"230x285, 2011"
9788808201690	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"Le basi molecolari della vita e dell'evoluzione - Il corpo umano"	3530	448	"230x285, 2011"
9788808207142	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"Le basi molecolari della vita e dell'evoluzione + Il corpo umano"	3850	448	"230x285, 2011"
9788808207326	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"PLUS Le basi molecolari della vita e dell'evoluzione"	2260	272	"230x285, 2011"
9788808224491	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"La chimica e i suoi fenomeni (di M. C. Pignocchino), Dalle cellule agli organismi"	2970	400	"230x285, 2011"
9788808407726	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"PLUS Il corpo umano"	2920	360	"230x285, 2011"
9788808434913	"HELLER H. Craig-HILLIS David M.-ORIANS Gordon H-PURVES William K-SADAVA David"	Biologia.blu	"con Biology in English"		"Confezione Dalle cellule agli organismi + La biologia dello sport"	3390	352	"230x285, 2011"
9782321010517		"Le Petit Robert Micro poche"			"Volume unico"	1720	1678	", , 120x180, 2018"
9788808261182	"FERNÁNDEZ LOYA Carmela-JETTI Maria Luisa-MANGANARO Maria Teresa-MENDO Susana"	"Gramática prática del Español"	"Con ejercicios"		"Volume unico con CD-ROM"	2150	352	"Clitt editore. Distribuzione esclusiva Zanichelli, 200x270, 2005"
9788808092724	"CARBONE Giuseppe-GUASTINI Riccardo-PIZZORUSSO Alessandro-VENTURA Luciano"	"Art. 99-103"	"Gli organi ausiliari - La magistratura Tomo I"	"1 ed."	"Volume unico"	3350	272	"178x248, 1994"
9788808400529	"LETIZIA Antonino"	"Scienze della Terra"			"Volume unico"	1660	176	"197x266, 2014"
9788808278845		"Verbi tedeschi"	"Manuale pratico per l'uso"		"Volume unico"	2420	320	"145x210, 2012"
9788808046741	"BONSIGNORI Angelo"	"Art. 194-215"	"LIQUIDAZIONE COATTA AMMINISTRATIVA"	"1 ed."	"Volume unico"	4250	390	"178x245, 1974"
9788808065995	"GOODSTEIN Judith R"	"Vito Volterra"	"Biografia di un matematico straordinario"		"Volume unico"	2880	408	"Trad. di C. Scaramuzzi, 145x210, 2009"
9788808720894	"LUPIA PALMIERI Elvidio-PAROTTO Maurizio"	"Scienze della Terra per tutti"			"Volume unico"	1880	256	", , 230x285, 2018"
9788808151353	"BIOZONE "	"Biology in English"			"Biochemistry and Biotechnology"	1270	120	"210x285, 2014"
9788808935434	"BIOZONE "	"Biology in English"			"Environmental Science"	1490	180	"210x285, 2014"
9788808083715	"PETRANGELI Mario Paolo"	"Progettazione e costruzione di ponti"	"Con cenni di patologia e diagnostica delle opere esistenti"	"Quarta edizione"	"Volume unico"	5150	448	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 170x240, 1996"
9788808058973	"MUSOLINO Giuseppe"	"Uso, abitazione e servitù irregolari"			"Volume unico"	10170	632	"180x240, 2012"
9788808198730	"BERG Jeremy M-STRYER Lubert-TYMOCZKO John L"	Biochimica		"Settima edizione"	"Volume unico"	12900	1072	"Trad. di M. Averna, P.L. Ipata, M. Pedrazzi, R. Stifanese. Rev. di E. Melloni, F. Salamino, 220x295, 2012"
9788808187383	"DEL PAPA Carlo-GIORDANI Mario Paolo-GIUGLIARELLI Gilberto"	"Problemi di fisica 1 con soluzione"	"Meccanica, termodinamica e gravitazione ( per ingegneri, fisici e matematici)"		"Volume 1"	2950	336	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 195x270, 2014"
9788808125910	"BARNES N Sue-CURTIS Helena-GANDOLA Laura-ODONE Roberto"	"Biologia, un'introduzione"			"Classificazione, evoluzione, ambiente"	1700	168	"230x285, 2010"
9788808210210	"BARNES N Sue-CURTIS Helena-GANDOLA Laura-ODONE Roberto"	"Biologia, un'introduzione"			"Cellula e genetica"	1110	96	"230x285, 2010"
9788808313904	"BARNES N Sue-CURTIS Helena-GANDOLA Laura-ODONE Roberto"	"Biologia, un'introduzione"			"Volume unico multimediale con CD-ROM"	3680	384	"230x285, 2010"
